Date,Vegetable,Actual,Predicted
2025-03-13,Banana (Sour),100.0,103.41964268439905
2025-03-14,Banana (Sour),100.0,101.67132985141609
2025-03-15,Banana (Sour),100.0,101.23719304559532
2025-03-16,Banana (Sour),100.0,102.23204196399502
2025-03-17,Banana (Sour),120.0,100.4372463365389
2025-03-18,Banana (Sour),120.0,119.36193293621712
2025-03-19,Banana (Sour),120.0,116.85577287501708
2025-03-20,Banana (Sour),100.0,118.60644457654703
2025-03-21,Banana (Sour),120.0,100.60252332106444
2025-03-22,Banana (Sour),120.0,119.77081072697275
2025-03-23,Banana (Sour),120.0,117.54352142761888
2025-03-24,Banana (Sour),100.0,117.82539676020141
2025-03-25,Banana (Sour),100.0,101.59647824264124
2025-03-26,Banana (Sour),100.0,101.08044656557539
2025-03-27,Banana (Sour),100.0,102.71542783095644
2025-03-28,Banana (Sour),100.0,101.018690960437
2025-03-29,Banana (Sour),100.0,102.23890991277761
2025-03-30,Banana (Sour),100.0,99.87809304468595
2025-03-31,Banana (Sour),100.0,101.46508081236514
2025-04-01,Banana (Sour),100.0,101.24151115609303
2025-04-02,Banana (Sour),100.0,101.23807460081503
2025-04-03,Banana (Sour),100.0,100.67406127560432
2025-04-04,Banana (Sour),100.0,100.68838843920199
2025-04-05,Banana (Sour),100.0,100.68978495578602
2025-04-06,Banana (Sour),100.0,100.69169150451381
2025-04-07,Banana (Sour),100.0,100.69022231881429
2025-04-08,Banana (Sour),100.0,100.7049069125289
2025-04-09,Banana (Sour),100.0,100.72557043841437
2025-04-10,Banana (Sour),100.0,100.77524774061247
2025-04-11,Banana (Sour),150.0,100.73100504292418
2025-04-12,Banana (Sour),150.0,145.44629262092545
2025-04-13,Banana (Sour),150.0,139.75209210576864
2025-04-14,Banana (Sour),150.0,144.10946783526015
2025-04-15,Banana (Sour),150.0,145.19908744082713
2025-04-16,Banana (Sour),100.0,142.69722443277757
2025-04-17,Banana (Sour),100.0,102.4894584458253
2025-04-18,Banana (Sour),100.0,105.60084465770151
2025-04-19,Banana (Sour),100.0,101.77781576734412
2025-04-20,Banana (Sour),100.0,100.65916406182436
2025-04-21,Banana (Sour),100.0,104.58837856264738
2025-04-22,Banana (Sour),100.0,100.09626558712789
2025-04-23,Banana (Sour),100.0,102.68061570033043
